disease,r2,mae,rmse,n_train,n_test
Cholera,0.8429838950668749,61.77041450936863,114.9236444586615,1871,468
Malaria,1.0,0.0,0.0,373,94
Measles,0.9687067279562377,3.8535082572795885,11.115130768114993,2120,531
Meningitis,-0.02429743813429952,2.039107142857205,2.2461603060891475,248,63
Yellow Fever,0.8391145990610918,0.31742918719211244,0.5296568032504166,1621,406
