disease,year,country,country,cases,deaths
Yellow Fever,1978,NGA,NGA,60.0,0.0
Yellow Fever,1996,NGA,NGA,0.0,0.0
Yellow Fever,1997,NGA,NGA,7.0,0.0
Yellow Fever,2022,NGA,NGA,14.0,0.0
Yellow Fever,2012,NGA,NGA,0.0,0.0
Yellow Fever,1990,NGA,NGA,4075.0,0.0
Yellow Fever,2013,NGA,NGA,0.0,0.0
Yellow Fever,2002,NGA,NGA,0.0,0.0
Yellow Fever,2023,NGA,NGA,43.0,0.0
Yellow Fever,2016,NGA,NGA,0.0,0.0
Yellow Fever,1985,NGA,NGA,6.0,0.0
Yellow Fever,2000,NGA,NGA,0.0,0.0
Yellow Fever,2015,NGA,NGA,0.0,0.0
Yellow Fever,1986,NGA,NGA,1318.0,0.0
Yellow Fever,1992,NGA,NGA,149.0,0.0
Meningitis,2013,NGA,NGA,871.0,0.0
Meningitis,2009,NGA,NGA,56128.0,0.0
Meningitis,2012,NGA,NGA,1206.0,0.0
Meningitis,2011,NGA,NGA,1165.0,0.0
Meningitis,2014,NGA,NGA,1175.0,0.0
Meningitis,2010,NGA,NGA,4983.0,0.0
