year,week,temperature_2m_mean,relative_humidity_2m_mean,precipitation_sum,state
2018,1,26.65714285714285,48.285714285714285,0.0,Abia
2018,2,27.814285714285717,68.57142857142857,1.9,Abia
2018,3,28.27142857142857,65.0,1.2,Abia
2018,4,28.3,59.42857142857143,0.4,Abia
2018,5,29.47142857142857,58.57142857142857,0.0,Abia
2018,6,28.67142857142857,73.14285714285714,12.3,Abia
2018,7,27.885714285714283,77.28571428571429,10.5,Abia
2018,8,27.3,80.14285714285714,25.1,Abia
2018,9,26.557142857142857,80.0,18.700000000000003,Abia
2018,10,26.857142857142858,79.71428571428571,9.3,Abia
2018,11,26.942857142857143,81.28571428571429,20.5,Abia
2018,12,26.557142857142857,82.85714285714286,41.5,Abia
2018,13,26.942857142857143,82.85714285714286,18.5,Abia
2018,14,26.571428571428573,83.0,16.7,Abia
2018,15,26.12857142857143,83.0,28.4,Abia
2018,16,26.357142857142858,83.85714285714286,55.3,Abia
2018,17,26.585714285714285,83.57142857142857,21.1,Abia
2018,18,26.642857142857142,83.42857142857143,15.3,Abia
2018,19,25.857142857142858,86.14285714285714,76.1,Abia
2018,20,25.97142857142857,86.14285714285714,24.9,Abia
2018,21,25.47142857142857,87.28571428571429,50.5,Abia
2018,22,25.27142857142857,88.71428571428571,69.7,Abia
2018,23,25.514285714285712,88.42857142857143,40.6,Abia
2018,24,25.542857142857144,87.42857142857143,43.5,Abia
2018,25,23.97142857142857,90.14285714285714,84.8,Abia
2018,26,24.25714285714286,90.0,53.2,Abia
2018,27,24.457142857142856,89.42857142857143,36.6,Abia
2018,28,24.585714285714285,89.42857142857143,68.6,Abia
2018,29,24.185714285714287,90.14285714285714,48.8,Abia
2018,30,23.82857142857143,92.57142857142856,73.0,Abia
2018,31,24.785714285714285,79.71428571428571,8.600000000000001,Abia
2018,32,24.37142857142857,86.85714285714286,37.8,Abia
2018,33,24.24285714285714,89.42857142857143,50.0,Abia
2018,34,24.042857142857144,89.42857142857143,137.3,Abia
2018,35,24.414285714285715,89.57142857142857,63.5,Abia
2018,36,23.985714285714288,91.0,73.8,Abia
2018,37,24.585714285714285,88.57142857142857,52.1,Abia
2018,38,25.071428571428573,88.57142857142857,49.7,Abia
2018,39,24.942857142857143,88.42857142857143,46.7,Abia
2018,40,25.085714285714285,88.85714285714286,44.7,Abia
2018,41,24.728571428571428,90.0,51.8,Abia
2018,42,25.485714285714288,87.85714285714286,31.9,Abia
2018,43,25.442857142857143,88.71428571428571,59.7,Abia
2018,44,25.32857142857143,89.14285714285714,31.4,Abia
2018,45,25.428571428571427,88.71428571428571,24.6,Abia
2018,46,26.2,87.14285714285714,15.0,Abia
2018,47,26.414285714285715,85.42857142857143,13.4,Abia
2018,48,27.02857142857143,81.28571428571429,6.1,Abia
2018,49,27.0,75.71428571428571,1.2,Abia
2018,50,27.37142857142857,73.28571428571429,1.2,Abia
2018,51,27.142857142857142,60.71428571428572,0.2,Abia
2018,52,27.185714285714287,58.71428571428572,0.0,Abia
2019,1,27.67142857142857,55.71428571428572,0.0,Abia
2019,2,27.842857142857145,60.285714285714285,0.8,Abia
2019,3,28.071428571428573,73.28571428571429,13.4,Abia
2019,4,26.928571428571427,82.57142857142857,21.6,Abia
2019,5,26.571428571428573,83.57142857142857,25.7,Abia
2019,6,27.27142857142857,71.28571428571429,9.6,Abia
2019,7,27.785714285714285,60.57142857142857,0.3,Abia
2019,8,28.17142857142857,75.57142857142857,18.1,Abia
2019,9,26.042857142857144,86.0,34.5,Abia
2019,10,26.714285714285715,85.28571428571429,32.6,Abia
2019,11,27.2,83.42857142857143,12.5,Abia
2019,12,26.6,85.71428571428571,37.0,Abia
2019,13,27.457142857142856,83.14285714285714,6.2,Abia
2019,14,27.6,83.28571428571429,36.7,Abia
2019,15,26.4,86.85714285714286,48.0,Abia
2019,16,26.642857142857142,86.57142857142857,28.6,Abia
2019,17,26.571428571428573,87.57142857142857,48.6,Abia
2019,18,26.37142857142857,88.71428571428571,54.2,Abia
2019,19,26.74285714285714,86.42857142857143,30.5,Abia
2019,20,25.957142857142856,87.71428571428571,63.2,Abia
2019,21,25.7,89.85714285714286,49.7,Abia
2019,22,25.071428571428573,90.42857142857144,58.6,Abia
2019,23,24.857142857142858,90.28571428571428,70.2,Abia
2019,24,24.77142857142857,91.42857142857144,78.3,Abia
2019,25,25.214285714285715,90.0,65.4,Abia
2019,26,24.428571428571427,91.0,79.1,Abia
2019,27,24.714285714285715,90.57142857142856,47.0,Abia
2019,28,23.957142857142856,91.71428571428572,125.6,Abia
2019,29,24.185714285714287,90.85714285714286,117.6,Abia
2019,30,24.12857142857143,91.0,67.7,Abia
2019,31,24.342857142857145,89.42857142857143,47.6,Abia
2019,32,24.414285714285715,88.42857142857143,28.6,Abia
2019,33,25.214285714285715,84.71428571428571,17.9,Abia
2019,34,24.0,91.57142857142856,51.9,Abia
2019,35,24.285714285714285,90.14285714285714,101.7,Abia
2019,36,24.714285714285715,89.57142857142857,57.8,Abia
2019,37,24.457142857142856,90.57142857142856,69.1,Abia
2019,38,24.928571428571427,89.42857142857143,50.6,Abia
2019,39,24.8,90.14285714285714,94.1,Abia
2019,40,24.4,91.14285714285714,77.7,Abia
2019,41,24.428571428571427,91.0,122.4,Abia
2019,42,24.285714285714285,91.57142857142856,65.1,Abia
2019,43,24.6,91.0,95.0,Abia
2019,44,24.485714285714288,90.28571428571428,71.7,Abia
2019,45,25.442857142857143,90.0,28.7,Abia
2019,46,25.61428571428572,89.0,22.8,Abia
2019,47,26.042857142857144,88.57142857142857,31.2,Abia
2019,48,26.442857142857143,85.85714285714286,6.4,Abia
2019,49,26.714285714285715,81.0,3.3000000000000003,Abia
2019,50,26.74285714285714,77.85714285714286,3.0,Abia
2019,51,27.414285714285715,70.14285714285714,0.1,Abia
2019,52,26.842857142857145,55.85714285714285,0.0,Abia
2020,1,26.485714285714288,39.0,0.0,Abia
2020,2,27.857142857142858,63.42857142857143,1.8,Abia
2020,3,28.185714285714287,57.85714285714285,0.0,Abia
