,cases,cases_per_100k,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,rainfall_change,temp_anomaly
cases,1.0,1.0000000000000002,-0.06802362577263199,-0.23877924805274617,-0.3964765171723681,,-8.915300575725929e-17
cases_per_100k,1.0000000000000002,1.0,-0.0680236257726314,-0.23877924805274417,-0.3964765171723645,,-7.440767961425007e-17
temperature_2m_mean,-0.06802362577263199,-0.0680236257726314,1.0,-0.3121101984850401,0.06169381032386429,-0.031668238395760655,0.9540241885392001
precipitation_sum,-0.23877924805274617,-0.23877924805274417,-0.3121101984850401,1.0,0.6844201695178477,0.6040648242103197,-0.40288392185367705
relative_humidity_2m_mean,-0.3964765171723681,-0.3964765171723645,0.06169381032386429,0.6844201695178477,1.0,0.2798557599743087,-0.11111689407554771
rainfall_change,,,-0.031668238395760655,0.6040648242103197,0.2798557599743087,1.0,-0.03653766723202033
temp_anomaly,-8.915300575725929e-17,-7.440767961425007e-17,0.9540241885392001,-0.40288392185367705,-0.11111689407554771,-0.03653766723202033,1.0
