,missing_count
report_date,111
week,0
who_country_cases,0
week_sin,0
temp_anomaly,0
rainfall_change,0
cases_per_100k,0
deaths_last_week,0
cases_last_week,0
urban_percent,0
population,0
relative_humidity_2m_mean,0
disease,0
precipitation_sum,0
temperature_2m_mean,0
year,0
cfr,0
deaths,0
cases,0
state,0
week_cos,0
