disease,r2,mae,rmse,n_train,n_test
Cholera,-0.6356808745514073,13444.512620701058,19288.120985036912,35,9
Measles,-3.1798296663435943,1617.3693750000002,1854.3280980419543,6,2
Meningitis,,844.6225,844.6225,4,1
Yellow Fever,0.24663930224299957,52.054898809523806,59.21108297596524,30,8
