year,week,population
2020,47,213996181.0
2020,48,213996181.0
2020,49,213996181.0
2020,50,213996181.0
2020,51,213996181.0
2020,52,213996181.0
2019,1,209485641.0
2019,2,209485641.0
2019,3,209485641.0
2019,4,209485641.0
2019,5,209485641.0
2019,6,209485641.0
2019,7,209485641.0
2019,8,209485641.0
2019,9,209485641.0
2019,10,209485641.0
2019,11,209485641.0
2019,12,209485641.0
2019,13,209485641.0
2019,14,209485641.0
2019,15,209485641.0
2019,16,209485641.0
2019,17,209485641.0
2019,18,209485641.0
2019,19,209485641.0
2019,20,209485641.0
2019,21,209485641.0
2019,22,209485641.0
2019,23,209485641.0
2019,24,209485641.0
2019,25,209485641.0
2019,26,209485641.0
2019,27,209485641.0
2019,28,209485641.0
2019,29,209485641.0
2019,30,209485641.0
2019,31,209485641.0
2019,32,209485641.0
2019,33,209485641.0
2019,34,209485641.0
2019,35,209485641.0
2019,36,209485641.0
2019,37,209485641.0
2019,38,209485641.0
2019,39,209485641.0
2019,40,209485641.0
2019,41,209485641.0
2019,42,209485641.0
2019,43,209485641.0
2019,44,209485641.0
2019,45,209485641.0
2019,46,209485641.0
2019,47,209485641.0
2019,48,209485641.0
2019,49,209485641.0
2019,50,209485641.0
2019,51,209485641.0
2019,52,209485641.0
2018,1,204938755.0
2018,2,204938755.0
2018,3,204938755.0
2018,4,204938755.0
2018,5,204938755.0
2018,6,204938755.0
2018,7,204938755.0
2018,8,204938755.0
2018,9,204938755.0
2018,10,204938755.0
2018,11,204938755.0
2018,12,204938755.0
2018,13,204938755.0
2018,14,204938755.0
2018,15,204938755.0
2018,16,204938755.0
2018,17,204938755.0
2018,18,204938755.0
2018,19,204938755.0
2018,20,204938755.0
2018,21,204938755.0
2018,22,204938755.0
2018,23,204938755.0
2018,24,204938755.0
2018,25,204938755.0
2018,26,204938755.0
2018,27,204938755.0
2018,28,204938755.0
2018,29,204938755.0
2018,30,204938755.0
2018,31,204938755.0
2018,32,204938755.0
2018,33,204938755.0
2018,34,204938755.0
2018,35,204938755.0
2018,36,204938755.0
2018,37,204938755.0
2018,38,204938755.0
2018,39,204938755.0
2018,40,204938755.0
2018,41,204938755.0
2018,42,204938755.0
2018,43,204938755.0
2018,44,204938755.0
2018,45,204938755.0
2018,46,204938755.0
2018,47,204938755.0
2018,48,204938755.0
2018,49,204938755.0
2018,50,204938755.0
2018,51,204938755.0
2018,52,204938755.0
