week,disease,state,cases,deaths,cfr,report_date,year,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,who_country_cases,population,urban_percent,cases_last_week,deaths_last_week,cases_per_100k,rainfall_change,temp_anomaly,week_sin,week_cos
45,Monkeypox,Continue Ipc Mentoring  Engagements Across States  Continue To Provide Close-Level  Support To States Who Have  Activated The Mpx Eoc  Further Dissemination Of  Monkeypox Advisories Across Ipc  Networks At State And Health  Facilities,0.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
30,Covid-19,Cross River,0.0,0.0,0.0,2025-07-24,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.46472317204376806,-0.8854560256532101
36,Covid-19,Cross River,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Cross River,0.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.822983865893657,0.5680647467311548
1,Covid-19,Delta,6.0,1.0,16.67,2020-01-01,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0028037883535874876,0.0,-3.552713678800501e-15,0.12053668025532305,0.992708874098054
1,Covid-19,Delta,4.0,1.0,25.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,6.0,1.0,0.0018691922357249918,0.0,-3.552713678800501e-15,0.12053668025532305,0.992708874098054
30,Covid-19,Delta,0.0,0.0,0.0,2025-07-24,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,6.0,1.0,0.0,0.0,-3.552713678800501e-15,-0.46472317204376806,-0.8854560256532101
36,Covid-19,Delta,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Delta,0.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.822983865893657,0.5680647467311548
46,Covid-19,Delta,6.0,1.0,16.67,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0028037883535874876,0.0,-3.552713678800501e-15,-0.6631226582407955,0.7485107481711007
45,Monkeypox,Development And Airing Of Jingles  On National Tv,0.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
30,Covid-19,Ebonyi,0.0,0.0,0.0,2025-07-24,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.46472317204376806,-0.8854560256532101
36,Covid-19,Ebonyi,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Ebonyi,0.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-0.822983865893657,0.5680647467311548
1,Covid-19,Edo,7.0,1.0,14.29,2020-01-02,2020,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.0032710864125187356,0.0,0.0,0.12053668025532305,0.992708874098054
1,Covid-19,Edo,1.0,0.0,0.0,,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.00046729805893124795,0.0,0.0,0.12053668025532305,0.992708874098054
10,Covid-19,Edo,7.0,1.0,14.29,2025-03-04,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,7.0,1.0,0.0032710864125187356,0.0,0.0,0.9350162426854148,0.35460488704253557
30,Covid-19,Edo,1.0,0.0,0.0,2025-07-24,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,7.0,1.0,0.00046729805893124795,0.0,0.0,-0.46472317204376806,-0.8854560256532101
36,Covid-19,Edo,0.0,0.0,0.0,2025-09-06,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,1.0,0.0,0.0,0.0,0.0,-0.9350162426854147,-0.3546048870425359
44,Covid-19,Edo,1.0,0.0,0.0,2025-11-02,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.00046729805893124795,0.0,0.0,-0.822983865893657,0.5680647467311548
45,Covid-19,Edo,0.0,0.0,0.0,2025-11-07,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,1.0,0.0,0.0,0.0,0.0,-0.7485107481711011,0.6631226582407952
46,Covid-19,Edo,17.0,2.0,11.76,2025-11-12,2025,26.660000000000004,0.0,39.2,0.0,213996181.0,51.958,0.0,0.0,0.007944067001831215,0.0,0.0,-0.6631226582407955,0.7485107481711007
